Name,Date of birth,Date of death,Age,Country of birth,Country of death,Occupation
Aeschylus,c. 525 BC,c. 456 BC,69,Greece,Italy,Writer
Akbar,"October 24, 1542","October 12, 1605",62,Pakistan,India,Politician
Muhammad ibn Musa al-Khwarizmi,780,850,70,Uzbekistan,Iraq,Scientist
Alexander the Great,"July 20, 356 BC","June 10, 323 BC",32,Greece,Iraq,Politician
Muhammad Ali,"January 17, 1942","June 3, 2016",74,United States,United States,Athlete
Dante Alighieri,"May 14, 1265","September 13, 1321",56,Italy,Italy,Writer
Thomas Aquinas,"January 28, 1225","March 7, 1274",49,Italy,Italy,Theologian
Archimedes,c. 287 BC,c. 212 BC,75,Italy,Italy,Scientist
Aristotle,384 BC,322 BC,62,Greece,Greece,Philosopher
Attila,c. 406,453,47,Hungary,Hungary,Politician
W. H. Auden,"February 21, 1907","September 29, 1973",66,United Kingdom,Austria,Writer
Augustine of Hippo,"November 13, 354","August 28, 430",75,Algeria,Algeria,Theologian
Augustus,"January 16, 63 BC","August 19, 14",77,Italy,Italy,Politician
Jane Austen,"December 16, 1775","July 18, 1817",41,United Kingdom,United Kingdom,Writer
Charles Babbage,"December 26, 1791","October 18, 1871",79,United Kingdom,United Kingdom,Scientist
Johann Sebastian Bach,"March 21, 1685","July 28, 1750",65,Germany,Germany,Artist
Francis Bacon,"January 22, 1561","April 9, 1626",65,United Kingdom,United Kingdom,Philosopher
Mikhail Baryshnikov,"January 28, 1948",—,73,Russia,—,Artist
The Beatles,"February 25, 1943","December 8, 1980",37,United Kingdom,United States,Artist
Ludwig van Beethoven,"December 16, 1770","March 26, 1827",56,Germany,Austria,Artist
Alexander Graham Bell,"March 3, 1847","August 2, 1922",75,United Kingdom,Canada,Scientist
Otto von Bismarck,"April 1, 1815","July 30, 1898",83,Germany,Germany,Politician
Simón Bolívar,"July 24, 1783","December 17, 1830",47,Venezuela,Colombia,Politician
Jorge Luis Borges,"August 24, 1899","June 14, 1986",86,Argentina,Switzerland,Writer
Gautama Buddha,c. 563 BC,c. 483 BC,80,Nepal,India,Theologian
Edmund Burke,"January 12, 1729","July 9, 1797",68,Ireland,United Kingdom,Philosopher
Lord Byron,"January 22, 1788","April 19, 1824",36,United Kingdom,Greece,Writer
Julius Caesar,"July 12, 100 BC","March 15, 44 BC",55,Italy,Italy,Politician
Cai Lun,c. 50 AD,121,71,China,China,Scientist
John Calvin,"July 10, 1509","May 27, 1564",54,France,Switzerland,Theologian
Catherine the Great,"April 21, 1729","November 17, 1796",67,Poland,Russia,Politician
Miguel de Cervantes,"September 29, 1547","April 23, 1616",68,Spain,Spain,Writer
Charlemagne,"April 2, 742","January 28, 814",71,Belgium,Germany,Politician
"Charles V, Holy Roman Emperor","February 24, 1500","September 21, 1558",58,Belgium,Spain,Politician
Charlie Chaplin,"April 16, 1889","December 25, 1977",88,United Kingdom,Switzerland,Artist
Christopher Columbus,August 1451,"May 20, 1506",55,Italy,Spain,Politician
Winston Churchill,"November 30, 1874","January 24, 1965",90,United Kingdom,United Kingdom,Politician
Cleopatra,January 69 BC,"August 12, 30 BC",39,Egypt,Egypt,Politician
Confucius,"September 28, 551 BC",479 BC,72,China,China,Philosopher
Constantine the Great,"February 27, 272","May 22, 337",65,Serbia,Turkey,Politician
Nicolaus Copernicus,"February 19, 1473","May 24, 1543",70,Poland,Poland,Scientist
Hernán Cortés,1485,"December 2, 1547",62,Spain,Spain,Politician
Marie Curie,"November 7, 1867","July 4, 1934",66,Poland,France,Scientist
Cyrus the Great,c. 600 BC,530 BC,70,Iran,Uzbekistan,Politician
Louis Daguerre,"November 18, 1787","July 10, 1851",63,France,France,Scientist
Charles Darwin,"February 12, 1809","April 19, 1882",73,United Kingdom,United Kingdom,Scientist
René Descartes,"March 31, 1596","February 11, 1650",53,France,Sweden,Philosopher
Charles Dickens,"February 7, 1812","June 9, 1870",58,United Kingdom,United Kingdom,Writer
Walt Disney,"December 5, 1901","December 15, 1966",65,United States,United States,Artist
Fyodor Dostoevsky,"November 11, 1821","February 9, 1881",59,Russia,Russia,Writer
Frederick Douglass,February 1818,"February 20, 1895",77,United States,United States,Politician
Thomas Edison,"February 11, 1847","October 18, 1931",84,United States,United States,Scientist
Albert Einstein,"March 14, 1879","April 18, 1955",76,Germany,United States,Scientist
T. S. Eliot,"September 26, 1888","January 4, 1965",76,United States,United Kingdom,Writer
Elizabeth I of England,"September 7, 1533","March 24, 1603",69,United Kingdom,United Kingdom,Politician
